ID,MIX ID,Fly Ash (kg/m3),Slag (kg/m3),SiO2,Al2O3,SiO2:Al2O3,CaO,CaO:SiO2,CaO:Al2O3,Fe2O3,Fe2O3:Al2O3,Na2SiO3 (kg/m3),NaOH (kg/m3),Na2SiO3:NaOH,NaOH (M),Activator:Binder,Extra Water (kg/m3),Liquid:Binder,Coarse Aggregate (kg/m3),Fine Aggregate (kg/m3),Fine Aggregate :Total Aggregate,Total Aggregate :Binder,Curing Temp (C),Curing Time (hr),Age before Exposure (Days),H2SO4 (M),Days Submerged,Mass Change (%),Compressive Strength (MPa)
1111,F-8,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,8,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,0,0,20.1
1111,F-8,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,8,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,7,-0.86,20.4
1111,F-8,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,8,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,14,-1.65,30.6
1111,F-8,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,8,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,28,-1.41,29.5
1111,F-8,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,8,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,63,-1.18,27.3
1111,F-8,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,8,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,98,-7.17,18.2
1111,F-12,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,12,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,0,0,32.4
1111,F-12,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,12,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,7,-1.29,21.2
1111,F-12,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,12,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,14,-2.01,21.1
1111,F-12,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,12,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,28,-1.93,36.1
1111,F-12,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,12,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,63,-1.94,23.5
1111,F-12,377,0,44.94,32.15,1.397822706,9.9,0.220293725,0.3079315708,5.14,0.1598755832,162,108,1.5,12,0.7161803714,0,0.7161803714,1150,500,0.303030303,4.376657825,60,48,7,0.05,98,-7.53,20.7
1111,C-8,450,0,44.18,26.92,1.64115899,11.02,0.2494341331,0.4093610698,9.34,0.3469539376,162,108,1.5,8,0.6,0,0.6,1150,500,0.303030303,3.666666667,60,48,7,0.05,0,0,25.6
1111,C-8,450,0,44.18,26.92,1.64115899,11.02,0.2494341331,0.4093610698,9.34,0.3469539376,162,108,1.5,8,0.6,0,0.6,1150,500,0.303030303,3.666666667,60,48,7,0.05,7,-0.66,21.1
1111,C-8,450,0,44.18,26.92,1.64115899,11.02,0.2494341331,0.4093610698,9.34,0.3469539376,162,108,1.5,8,0.6,0,0.6,1150,500,0.303030303,3.666666667,60,48,7,0.05,14,-1.49,31.4
1111,C-8,450,0,44.18,26.92,1.64115899,11.02,0.2494341331,0.4093610698,9.34,0.3469539376,162,108,1.5,8,0.6,0,0.6,1150,500,0.303030303,3.666666667,60,48,7,0.05,28,-1.29,32.8
1111,C-8,450,0,44.18,26.92,1.64115899,11.02,0.2494341331,0.4093610698,9.34,0.3469539376,162,108,1.5,8,0.6,0,0.6,1150,500,0.303030303,3.666666667,60,48,7,0.05,63,-1.3,21.8
